WorkingGroup,FishStock,CertYear,Year,Recruitment,TBiomass,SSB,Landings,YieldSSB,MeanF,Bmsy,SSBlim,Fmsy,SoP,F14,F15,F16,F17,F18,F19,F20,F21
afwg,cod-arct,2013,1946,728153,4168918,1112830,706000,0.6344,0.1857,,,,,,,,,,,,
afwg,cod-arct,2013,1947,425197,3692730,1165041,882017,0.7571,0.3047,,,,,,,,,,,,
afwg,cod-arct,2013,1948,442672,3665785,1019065,774295,0.7598,0.3398,,,,,,,,,,,,
afwg,cod-arct,2013,1949,468394,3065104,729858,800122,1.0963,0.3619,,,,,,,,,,,,
afwg,cod-arct,2013,1950,704902,2830106,615348,731982,1.1895,0.3566,,,,,,,,,,,,
afwg,cod-arct,2013,1951,1083765,3141009,568704,827180,1.4545,0.3966,,,,,,,,,,,,
afwg,cod-arct,2013,1952,1193117,3407677,520597,876795,1.6842,0.5348,,,,,,,,,,,,
afwg,cod-arct,2013,1953,1590386,3557375,396417,695546,1.7546,0.3572,,,,,,,,,,,,
afwg,cod-arct,2013,1954,641573,4039197,429693,826021,1.9224,0.3879,,,,,,,,,,,,
afwg,cod-arct,2013,1955,272785,3488381,346918,1147841,3.3087,0.5437,,,,,,,,,,,,
afwg,cod-arct,2013,1956,439609,3189826,299820,1343068,4.4796,0.6401,,,,,,,,,,,,
afwg,cod-arct,2013,1957,804793,2495893,207838,792557,3.8133,0.5089,,,,,,,,,,,,
afwg,cod-arct,2013,1958,496822,2164144,195377,769313,3.9376,0.5169,,,,,,,,,,,,
afwg,cod-arct,2013,1959,683686,2415820,432488,744607,1.7217,0.5596,,,,,,,,,,,,
afwg,cod-arct,2013,1960,789650,2050801,383478,622042,1.6221,0.4789,,,,,,,,,,,,
afwg,cod-arct,2013,1961,916839,2137145,404227,783221,1.9376,0.6348,,,,,,,,,,,,
afwg,cod-arct,2013,1962,728336,1957003,311676,909266,2.9173,0.7576,,,,,,,,,,,,
afwg,cod-arct,2013,1963,472070,1747578,208207,776337,3.7287,0.9866,,,,,,,,,,,,
afwg,cod-arct,2013,1964,338682,1374528,186570,437695,2.346,0.6789,,,,,,,,,,,,
afwg,cod-arct,2013,1965,776925,1440686,102315,444930,4.3486,0.5533,,,,,,,,,,,,
afwg,cod-arct,2013,1966,1582567,2198419,120722,483711,4.0068,0.5302,,,,,,,,,,,,
afwg,cod-arct,2013,1967,1295405,2852156,129784,572605,4.412,0.5439,,,,,,,,,,,,
afwg,cod-arct,2013,1968,164952,3387452,227214,1074084,4.7272,0.5704,,,,,,,,,,,,
afwg,cod-arct,2013,1969,112038,2805588,151870,1197226,7.8832,0.8292,,,,,,,,,,,,
afwg,cod-arct,2013,1970,197103,2057696,224482,933246,4.1573,0.7493,,,,,,,,,,,,
afwg,cod-arct,2013,1971,404768,1610966,311662,689048,2.2109,0.5956,,,,,,,,,,,,
afwg,cod-arct,2013,1972,1015331,1621487,346511,565254,1.6313,0.6928,,,,,,,,,,,,
afwg,cod-arct,2013,1973,1818945,2401954,332913,792685,2.3811,0.602,,,,,,,,,,,,
afwg,cod-arct,2013,1974,523917,2236384,164491,1102433,6.7021,0.5633,,,,,,,,,,,,
afwg,cod-arct,2013,1975,621618,2037430,142028,829377,5.8395,0.6595,,,,,,,,,,,,
afwg,cod-arct,2013,1976,613942,1931394,171238,867463,5.0658,0.6457,,,,,,,,,,,,
afwg,cod-arct,2013,1977,348053,1950747,341385,905301,2.6518,0.8379,,,,,,,,,,,,
afwg,cod-arct,2013,1978,638492,1576565,241536,698715,2.8928,0.9406,,,,,,,,,,,,
afwg,cod-arct,2013,1979,198489,1114380,174698,440538,2.5217,0.7264,,,,,,,,,,,,
afwg,cod-arct,2013,1980,137736,863861,108253,380434,3.5143,0.7241,,,,,,,,,,,,
afwg,cod-arct,2013,1981,150868,983657,166925,399038,2.3905,0.8632,,,,,,,,,,,,
afwg,cod-arct,2013,1982,151830,750870,326132,363730,1.1153,0.7583,,,,,,,,,,,,
afwg,cod-arct,2013,1983,166828,738674,327181,289992,0.8863,0.756,,,,,,,,,,,,
afwg,cod-arct,2013,1984,397854,817605,251086,277651,1.1058,0.9161,,,,,,,,,,,,
afwg,cod-arct,2013,1985,523672,957511,193855,307920,1.5884,0.7038,,,,,,,,,,,,
afwg,cod-arct,2013,1986,1038709,1294412,170729,430113,2.5193,0.8649,,,,,,,,,,,,
afwg,cod-arct,2013,1987,286365,1126279,121243,523071,4.3142,0.951,,,,,,,,,,,,
afwg,cod-arct,2013,1988,204645,915459,202589,434939,2.1469,0.9743,,,,,,,,,,,,
afwg,cod-arct,2013,1989,172780,890360,234716,332481,1.4165,0.6602,,,,,,,,,,,,
afwg,cod-arct,2013,1990,242762,962680,316418,212000,0.67,0.271,,,,,,,,,,,,
afwg,cod-arct,2013,1991,411745,1561702,704747,319158,0.4529,0.321,,,,,,,,,,,,
afwg,cod-arct,2013,1992,721292,1912312,887567,513234,0.5782,0.455,,,,,,,,,,,,
afwg,cod-arct,2013,1993,894864,2359876,775193,581611,0.7503,0.5528,,,,,,,,,,,,
afwg,cod-arct,2013,1994,783483,2149011,614890,771086,1.254,0.8677,,,,,,,,,,,,
afwg,cod-arct,2013,1995,615764,1808700,528858,739999,1.3992,0.7878,,,,,,,,,,,,
afwg,cod-arct,2013,1996,439935,1690076,571871,732228,1.2804,0.6983,,,,,,,,,,,,
afwg,cod-arct,2013,1997,717325,1533455,588981,762403,1.2944,1.0327,,,,,,,,,,,,
afwg,cod-arct,2013,1998,846346,1231212,386598,592624,1.5329,0.9147,,,,,,,,,,,,
afwg,cod-arct,2013,1999,549795,1102338,293881,484910,1.65,0.9831,,,,,,,,,,,,
afwg,cod-arct,2013,2000,613588,1103975,241295,414868,1.7193,0.843,,,,,,,,,,,,
afwg,cod-arct,2013,2001,520652,1380068,356389,426471,1.1966,0.7051,,,,,,,,,,,,
afwg,cod-arct,2013,2002,454916,1551582,498812,535045,1.0726,0.6798,,,,,,,,,,,,
afwg,cod-arct,2013,2003,709786,1631199,551075,551990,1.0017,0.543,,,,,,,,,,,,
afwg,cod-arct,2013,2004,310760,1602780,660436,606445,0.9182,0.6765,,,,,,,,,,,,
afwg,cod-arct,2013,2005,580529,1606522,616415,641276,1.0403,0.6997,,,,,,,,,,,,
afwg,cod-arct,2013,2006,602424,1585872,613470,537642,0.8764,0.5819,,,,,,,,,,,,
afwg,cod-arct,2013,2007,1345550,1986190,679620,486883,0.7164,0.3578,,,,,,,,,,,,
afwg,cod-arct,2013,2008,1180151,2700595,742736,464171,0.6249,0.3101,,,,,,,,,,,,
afwg,cod-arct,2013,2009,750030,3314018,1154345,523430,0.4534,0.243,,,,,,,,,,,,
afwg,cod-arct,2013,2010,457192,3537739,1364521,609983,0.447,0.2301,,,,,,,,,,,,
afwg,cod-arct,2013,2011,691437,3682606,1857157,719830,0.3876,0.2644,,,,,,,,,,,,
afwg,cod-arct,2013,2012,721000,,2062626,,,,,,,,,,,,,,,
afwg,ghl-arct,2013,1964,42841,172937,72644,40391,0.556,0.3146,,,,,,,,,,,,
afwg,ghl-arct,2013,1965,51686,171360,69254,34751,0.5018,0.2643,,,,,,,,,,,,
afwg,ghl-arct,2013,1966,57830,181482,68558,26321,0.3839,0.1601,,,,,,,,,,,,
afwg,ghl-arct,2013,1967,70444,209630,76710,24267,0.3163,0.1376,,,,,,,,,,,,
afwg,ghl-arct,2013,1968,64282,244359,90724,26168,0.2884,0.1309,,,,,,,,,,,,
afwg,ghl-arct,2013,1969,55933,274341,116542,43789,0.3757,0.1988,,,,,,,,,,,,
afwg,ghl-arct,2013,1970,41114,312362,139624,89484,0.6409,0.4204,,,,,,,,,,,,
afwg,ghl-arct,2013,1971,31555,242826,111287,79034,0.7102,0.4223,,,,,,,,,,,,
afwg,ghl-arct,2013,1972,33561,196254,94886,43055,0.4538,0.3019,,,,,,,,,,,,
afwg,ghl-arct,2013,1973,31066,180324,95803,29938,0.3125,0.2252,,,,,,,,,,,,
afwg,ghl-arct,2013,1974,26653,173157,91530,37763,0.4126,0.2786,,,,,,,,,,,,
afwg,ghl-arct,2013,1975,22554,152762,79775,38172,0.4785,0.3359,,,,,,,,,,,,
afwg,ghl-arct,2013,1976,22115,126156,62706,36074,0.5753,0.4262,,,,,,,,,,,,
afwg,ghl-arct,2013,1977,23729,100880,45347,28827,0.6357,0.3406,,,,,,,,,,,,
afwg,ghl-arct,2013,1978,20614,87247,35971,24617,0.6843,0.3654,,,,,,,,,,,,
afwg,ghl-arct,2013,1979,19750,105092,35707,17312,0.4848,0.1907,,,,,,,,,,,,
afwg,ghl-arct,2013,1980,18697,86309,34721,13284,0.3826,0.1716,,,,,,,,,,,,
afwg,ghl-arct,2013,1981,17947,92323,39691,15018,0.3784,0.144,,,,,,,,,,,,
afwg,ghl-arct,2013,1982,18992,88015,38556,16789,0.4354,0.2178,,,,,,,,,,,,
afwg,ghl-arct,2013,1983,19280,104518,42994,22147,0.5151,0.2896,,,,,,,,,,,,
afwg,ghl-arct,2013,1984,17852,93826,39539,21883,0.5535,0.3351,,,,,,,,,,,,
afwg,ghl-arct,2013,1985,19995,93009,41579,19945,0.4797,0.3013,,,,,,,,,,,,
afwg,ghl-arct,2013,1986,19904,92318,41168,22875,0.5557,0.3463,,,,,,,,,,,,
afwg,ghl-arct,2013,1987,19489,85717,31040,19112,0.6157,0.3443,,,,,,,,,,,,
afwg,ghl-arct,2013,1988,23109,85494,27583,19587,0.7101,0.3963,,,,,,,,,,,,
afwg,ghl-arct,2013,1989,20851,89351,24883,20138,0.8093,0.3161,,,,,,,,,,,,
afwg,ghl-arct,2013,1990,14642,78651,21735,23183,1.0666,0.4197,,,,,,,,,,,,
afwg,ghl-arct,2013,1991,12898,73203,25774,33320,1.2928,0.6488,,,,,,,,,,,,
afwg,ghl-arct,2013,1992,10842,46427,17054,8602,0.5044,0.2396,,,,,,,,,,,,
afwg,ghl-arct,2013,1993,13357,53126,18839,11933,0.6334,0.3072,,,,,,,,,,,,
afwg,ghl-arct,2013,1994,19018,53604,16465,9226,0.5603,0.2567,,,,,,,,,,,,
afwg,ghl-arct,2013,1995,18997,61442,15182,11734,0.7729,0.3001,,,,,,,,,,,,
afwg,ghl-arct,2013,1996,20022,71907,15569,14347,0.9215,0.3163,,,,,,,,,,,,
afwg,ghl-arct,2013,1997,22331,77323,17221,9410,0.5464,0.2177,,,,,,,,,,,,
afwg,ghl-arct,2013,1998,21914,89134,19417,11893,0.6125,0.2164,,,,,,,,,,,,
afwg,ghl-arct,2013,1999,20065,95874,20419,19517,0.9558,0.3093,,,,,,,,,,,,
afwg,ghl-arct,2013,2000,20617,102362,25378,14437,0.5689,0.1926,,,,,,,,,,,,
afwg,ghl-arct,2013,2001,20464,114290,35498,16307,0.4594,0.1768,,,,,,,,,,,,
afwg,ghl-arct,2013,2002,24356,119157,49061,13161,0.2683,0.1307,,,,,,,,,,,,
afwg,ghl-arct,2013,2003,22749,134521,59399,13578,0.2286,0.1217,,,,,,,,,,,,
afwg,ghl-arct,2013,2004,24399,156940,70306,18800,0.2674,0.1373,,,,,,,,,,,,
afwg,ghl-arct,2013,2005,31085,153040,66870,18834,0.2817,0.1419,,,,,,,,,,,,
afwg,ghl-arct,2013,2006,36158,158313,63824,17897,0.2804,0.1402,,,,,,,,,,,,
