WorkingGroup,FishStock,CertYear,Year,Recruitment,TBiomass,SSB,Landings,YieldSSB,MeanF,Bmsy,SSBlim,Fmsy
afwg,cod-arct,2012,1946,728139,4168882,1112776,706000,0.6344,0.1857,2568700,220000,0.4
afwg,cod-arct,2012,1947,425311,3692801,1165059,882017,0.7571,0.3047,2568700,220000,0.4
afwg,cod-arct,2012,1948,442592,3665819,1019114,774295,0.7598,0.3398,2568700,220000,0.4
afwg,cod-arct,2012,1949,468348,3065111,729879,800122,1.0962,0.3619,2568700,220000,0.4
afwg,cod-arct,2012,1950,704908,2830103,615339,731982,1.1896,0.3566,2568700,220000,0.4
afwg,cod-arct,2012,1951,1083753,3141009,568705,827180,1.4545,0.3966,2568700,220000,0.4
afwg,cod-arct,2012,1952,1193111,3407679,520599,876795,1.6842,0.5348,2568700,220000,0.4
afwg,cod-arct,2012,1953,1590377,3557376,396417,695546,1.7546,0.3572,2568700,220000,0.4
afwg,cod-arct,2012,1954,641584,4039204,429694,826021,1.9223,0.3879,2568700,220000,0.4
afwg,cod-arct,2012,1955,272778,3488383,346919,1147841,3.3087,0.5437,2568700,220000,0.4
afwg,cod-arct,2012,1956,439602,3189831,299823,1343068,4.4795,0.6401,2568700,220000,0.4
afwg,cod-arct,2012,1957,804781,2495895,207840,792557,3.8133,0.5089,2568700,220000,0.4
afwg,cod-arct,2012,1958,496824,2164149,195377,769313,3.9376,0.5169,2568700,220000,0.4
afwg,cod-arct,2012,1959,683690,2415826,432489,744607,1.7217,0.5596,2568700,220000,0.4
afwg,cod-arct,2012,1960,789653,2050805,383479,622042,1.6221,0.4789,2568700,220000,0.4
afwg,cod-arct,2012,1961,916842,2137149,404228,783221,1.9376,0.6348,2568700,220000,0.4
afwg,cod-arct,2012,1962,728338,1957006,311678,909266,2.9173,0.7576,2568700,220000,0.4
afwg,cod-arct,2012,1963,472064,1747579,208207,776337,3.7287,0.9866,2568700,220000,0.4
afwg,cod-arct,2012,1964,338678,1374529,186570,437695,2.346,0.6789,2568700,220000,0.4
afwg,cod-arct,2012,1965,776941,1440693,102315,444930,4.3486,0.5533,2568700,220000,0.4
afwg,cod-arct,2012,1966,1582560,2198418,120722,483711,4.0068,0.5302,2568700,220000,0.4
afwg,cod-arct,2012,1967,1295416,2852164,129784,572605,4.412,0.5439,2568700,220000,0.4
afwg,cod-arct,2012,1968,164955,3387455,227215,1074084,4.7272,0.5704,2568700,220000,0.4
afwg,cod-arct,2012,1969,112039,2805591,151870,1197226,7.8832,0.8292,2568700,220000,0.4
afwg,cod-arct,2012,1970,197105,2057698,224482,933246,4.1573,0.7493,2568700,220000,0.4
afwg,cod-arct,2012,1971,404774,1610969,311662,689048,2.2109,0.5956,2568700,220000,0.4
afwg,cod-arct,2012,1972,1015319,1621485,346511,565254,1.6313,0.6928,2568700,220000,0.4
afwg,cod-arct,2012,1973,1818949,2401955,332913,792685,2.3811,0.602,2568700,220000,0.4
